date,open,close,high,low,volume,code
2010-12-09,195.99,195.26,196.78,192.3,24461.0,600519
2010-12-10,193.35,197.72,198.88,191.0,39587.0,600519
2010-12-13,197.5,196.99,197.5,193.5,58592.0,600519
2010-12-14,197.31,197.91,201.5,196.8,61542.0,600519
2010-12-15,198.0,200.7,203.33,198.0,47423.0,600519
2010-12-16,211.99,206.98,212.5,206.5,66817.0,600519
2010-12-17,208.0,204.42,209.2,203.81,51769.0,600519
2010-12-20,205.98,197.38,206.66,194.0,68557.0,600519
2010-12-21,197.35,194.0,197.61,193.01,59359.0,600519
2010-12-22,194.07,190.95,194.49,190.0,44151.0,600519
2010-12-23,190.85,190.71,192.7,190.0,32743.0,600519
2010-12-24,190.71,188.72,190.91,187.0,29408.0,600519
2010-12-27,189.0,182.99,189.99,182.31,45246.0,600519
2010-12-28,183.0,183.26,186.6,177.4,48176.0,600519
2010-12-29,183.1,186.0,186.07,182.0,30967.0,600519
2010-12-30,186.5,181.93,186.5,180.2,41774.0,600519
2010-12-31,181.8,183.92,184.28,181.05,46084.0,600519
2011-01-04,186.9,185.5,187.9,182.6,60462.0,600519
2011-01-05,184.9,181.08,185.4,180.5,58198.0,600519
2011-01-06,181.21,180.24,183.6,178.44,37584.0,600519
2011-01-07,180.18,179.72,181.69,178.5,30533.0,600519
2011-01-10,179.62,174.31,180.51,174.14,38784.0,600519
2011-01-11,173.68,173.56,175.5,171.21,45322.0,600519
2011-01-12,174.1,174.47,176.0,172.41,31323.0,600519
2011-01-13,175.5,179.49,181.0,174.49,41341.0,600519
2011-01-14,178.95,180.19,181.21,177.3,25772.0,600519
2011-01-17,179.7,175.59,182.2,175.02,37475.0,600519
2011-01-18,175.1,182.56,182.61,173.99,40962.0,600519
2011-01-19,182.56,182.83,183.57,181.11,26198.0,600519
2011-01-20,182.3,180.07,183.99,178.25,24523.0,600519
2011-01-21,179.8,175.89,181.5,175.66,26867.0,600519
2011-01-24,175.87,171.52,177.48,170.01,34775.0,600519
2011-01-25,170.98,170.7,172.4,170.0,17238.0,600519
2011-01-26,171.01,172.14,173.99,171.01,14325.0,600519
2011-01-27,171.96,173.06,175.28,169.58,29444.0,600519
2011-01-28,173.01,173.34,174.13,172.38,19591.0,600519
2011-01-31,173.5,177.99,180.92,173.01,32442.0,600519
2011-02-01,178.0,180.28,181.85,177.5,17758.0,600519
2011-02-09,179.99,177.96,180.81,177.0,17675.0,600519
2011-02-10,177.35,185.03,185.99,177.3,36008.0,600519
2011-02-11,184.74,184.93,188.45,184.29,34001.0,600519
2011-02-14,184.93,187.11,188.0,183.9,36639.0,600519
2011-02-15,187.11,185.24,188.8,184.8,29716.0,600519
2011-02-16,185.01,183.68,185.99,181.7,36440.0,600519
2011-02-17,183.0,181.26,183.7,180.83,36363.0,600519
2011-02-18,180.8,181.98,185.45,180.3,36828.0,600519
2011-02-21,182.0,183.48,184.8,181.2,27289.0,600519
2011-02-22,183.48,181.88,185.25,181.0,38293.0,600519
2011-02-23,181.11,182.76,183.47,181.11,19422.0,600519
2011-02-24,182.58,182.15,183.47,181.12,20476.0,600519
2011-02-25,182.88,179.62,182.88,179.2,29413.0,600519
2011-02-28,179.3,178.68,179.46,176.0,39093.0,600519
2011-03-01,178.71,178.64,179.93,177.8,23059.0,600519
2011-03-02,178.2,177.21,179.0,176.01,32095.0,600519
2011-03-03,177.27,175.0,178.69,174.75,37735.0,600519
2011-03-04,175.0,175.93,176.78,174.5,33351.0,600519
2011-03-07,175.84,177.38,177.53,175.84,33553.0,600519
2011-03-08,177.43,176.72,177.6,174.8,31869.0,600519
2011-03-09,177.49,177.99,178.2,176.05,22971.0,600519
2011-03-10,177.97,182.0,184.2,177.38,54492.0,600519
2011-03-11,181.6,180.04,183.4,179.89,23345.0,600519
2011-03-14,179.52,182.88,184.0,179.11,22372.0,600519
2011-03-15,181.64,179.27,183.22,177.03,30898.0,600519
2011-03-16,179.6,181.84,182.97,179.31,24176.0,600519
2011-03-17,180.9,189.03,189.53,180.18,88522.0,600519
2011-03-18,189.55,191.15,194.1,187.13,61484.0,600519
2011-03-21,189.8,187.13,190.98,184.55,48651.0,600519
2011-03-22,188.38,185.75,189.98,185.2,27887.0,600519
2011-03-23,186.01,186.54,186.69,183.5,42881.0,600519
2011-03-24,186.3,183.55,186.55,183.5,21353.0,600519
2011-03-25,183.0,183.43,185.58,183.0,27905.0,600519
2011-03-28,183.55,180.91,184.4,180.49,40295.0,600519
2011-03-29,181.0,178.95,181.3,178.5,26523.0,600519
2011-03-30,178.94,178.71,180.26,178.3,20602.0,600519
2011-03-31,178.71,179.85,182.8,178.5,17525.0,600519
2011-04-01,179.98,179.46,181.35,178.55,18227.0,600519
2011-04-06,179.4,176.98,179.9,176.71,28774.0,600519
2011-04-07,176.2,174.94,177.0,174.78,46830.0,600519
2011-04-08,174.96,175.66,176.5,174.8,21823.0,600519
2011-04-11,175.45,177.49,178.65,175.11,26173.0,600519
2011-04-12,177.5,177.42,179.34,176.7,34945.0,600519
2011-04-13,177.3,178.33,179.0,177.02,29389.0,600519
2011-04-14,178.3,175.74,178.5,175.48,36621.0,600519
2011-04-15,175.97,172.38,176.99,170.77,53327.0,600519
2011-04-18,172.18,173.06,173.39,171.21,19608.0,600519
2011-04-19,173.06,173.38,174.64,171.49,22880.0,600519
2011-04-20,173.38,174.8,175.18,173.0,22509.0,600519
2011-04-21,175.0,174.86,177.59,174.71,28684.0,600519
2011-04-22,175.5,176.15,176.4,174.53,14500.0,600519
2011-04-25,180.0,183.06,185.08,179.5,70225.0,600519
2011-04-26,183.0,181.17,183.5,180.88,31095.0,600519
2011-04-27,181.6,181.15,185.0,181.0,27748.0,600519
2011-04-28,182.1,178.42,182.58,177.8,25357.0,600519
2011-04-29,178.4,182.31,183.09,177.68,22083.0,600519
2011-05-03,183.0,185.86,186.8,182.0,41270.0,600519
2011-05-04,184.49,183.5,188.08,183.44,32521.0,600519
2011-05-05,183.51,184.95,187.5,183.01,26693.0,600519
2011-05-06,184.0,185.81,187.0,183.01,23960.0,600519
2011-05-09,186.58,184.16,187.49,183.9,12175.0,600519
2011-05-10,184.07,183.59,184.5,182.78,15918.0,600519
2011-05-11,183.02,185.27,186.3,183.02,12896.0,600519
2011-05-12,185.0,187.32,189.5,184.6,25027.0,600519
2011-05-13,187.35,187.66,188.99,185.5,12253.0,600519
2011-05-16,187.5,187.67,188.98,186.5,11505.0,600519
2011-05-17,187.02,187.63,190.3,186.0,20866.0,600519
2011-05-18,187.3,194.95,197.44,187.3,62165.0,600519
2011-05-19,196.0,199.88,201.65,196.0,85738.0,600519
2011-05-20,200.7,200.83,201.66,198.81,40043.0,600519
2011-05-23,200.0,197.03,202.75,197.0,39420.0,600519
2011-05-24,195.51,194.61,197.5,194.5,23997.0,600519
2011-05-26,194.8,198.69,202.79,194.8,38970.0,600519
2011-05-27,199.88,193.74,200.78,193.21,31729.0,600519
2011-05-30,192.18,202.53,202.58,191.77,47286.0,600519
2011-05-31,202.65,203.8,203.98,201.3,33854.0,600519
2011-06-01,204.1,209.89,209.98,203.02,39093.0,600519
2011-06-02,208.5,206.59,209.66,203.6,39585.0,600519
2011-06-03,206.02,211.61,212.7,206.02,29483.0,600519
2011-06-07,211.98,207.87,211.99,206.28,26876.0,600519
2011-06-08,207.55,208.74,209.7,203.58,25070.0,600519
2011-06-09,208.05,201.82,208.3,201.76,36179.0,600519
2011-06-10,201.5,202.56,204.49,199.8,34279.0,600519
2011-06-13,202.5,201.49,203.9,198.8,28004.0,600519
2011-06-14,201.47,204.46,204.98,200.5,37487.0,600519
2011-06-15,204.02,203.21,204.47,202.19,16408.0,600519
2011-06-16,202.2,203.02,205.29,200.22,17731.0,600519
2011-06-17,203.5,208.63,209.99,202.65,33411.0,600519
2011-06-20,208.1,203.46,208.28,201.0,29909.0,600519
2011-06-21,202.03,203.3,204.84,202.03,12738.0,600519
2011-06-22,203.2,205.93,207.48,203.2,16188.0,600519
2011-06-23,205.3,207.99,209.2,205.0,20280.0,600519
2011-06-24,207.85,206.44,210.15,205.35,37068.0,600519
2011-06-27,207.2,208.27,208.96,205.78,23190.0,600519
2011-06-28,209.0,210.45,211.87,207.22,25540.0,600519
2011-06-29,210.88,210.94,212.88,207.9,19596.0,600519
2011-06-30,210.02,212.63,213.3,210.02,32701.0,600519
2011-07-01,192.5,191.63,192.5,189.9,15810.0,600519
2011-07-04,191.21,193.02,193.33,190.8,46338.0,600519
2011-07-05,193.0,191.43,193.02,189.8,27057.0,600519
2011-07-06,190.98,191.07,192.0,190.11,19753.0,600519
2011-07-07,191.0,194.11,196.08,191.0,40956.0,600519
2011-07-08,194.35,194.08,195.48,192.95,17183.0,600519
2011-07-11,194.06,196.83,198.07,193.45,25615.0,600519
2011-07-12,196.32,193.74,196.83,193.64,28488.0,600519
2011-07-13,194.09,194.59,195.49,193.36,22109.0,600519
2011-07-14,194.59,193.25,194.8,192.8,24822.0,600519
2011-07-15,192.59,195.15,195.79,192.59,17763.0,600519
2011-07-18,195.2,198.96,200.44,195.2,28523.0,600519
2011-07-19,198.9,198.84,200.03,197.2,20276.0,600519
2011-07-20,199.99,199.89,200.48,198.5,18967.0,600519
2011-07-21,200.17,203.43,205.5,200.0,47676.0,600519
2011-07-22,203.16,206.28,208.88,203.16,49860.0,600519
2011-07-25,207.0,203.65,207.68,202.51,35260.0,600519
2011-07-26,203.5,203.56,203.99,202.0,24791.0,600519
2011-07-27,203.89,204.32,207.5,202.66,30676.0,600519
2011-07-28,203.89,207.75,207.9,202.0,22923.0,600519
2011-07-29,207.5,206.69,207.5,205.3,19104.0,600519
2011-08-01,207.33,203.38,207.33,202.8,18572.0,600519
2011-08-02,202.2,201.11,202.75,198.55,27849.0,600519
2011-08-03,199.21,201.79,202.8,199.0,17061.0,600519
2011-08-04,202.5,204.98,205.69,201.8,17773.0,600519
2011-08-05,200.08,203.13,205.6,200.08,21319.0,600519
2011-08-08,201.01,199.66,205.1,198.0,36884.0,600519
2011-08-09,196.44,201.1,203.0,193.0,36924.0,600519
2011-08-10,202.4,205.7,206.49,199.75,38436.0,600519
2011-08-11,204.0,214.7,215.6,204.0,61949.0,600519
2011-08-12,215.0,216.77,217.6,213.0,39466.0,600519
2011-08-15,217.2,213.3,218.79,211.92,29450.0,600519
2011-08-16,213.65,209.69,215.28,208.27,37491.0,600519
2011-08-17,210.0,209.85,211.49,208.72,13553.0,600519
2011-08-18,209.31,208.2,209.85,206.36,29341.0,600519
2011-08-19,206.9,209.9,210.15,206.55,37488.0,600519
2011-08-22,210.1,204.31,210.9,203.6,28164.0,600519
2011-08-23,203.99,204.93,206.2,203.4,23579.0,600519
2011-08-24,205.0,205.8,207.99,204.09,17957.0,600519
2011-08-25,207.5,207.42,208.5,205.01,30083.0,600519
2011-08-26,207.38,212.88,212.99,206.85,22748.0,600519
2011-08-29,212.0,215.27,215.98,209.5,26082.0,600519
2011-08-30,215.5,214.82,217.43,213.01,28816.0,600519
2011-08-31,218.8,214.77,219.5,214.5,50014.0,600519
2011-09-01,214.7,211.48,215.48,210.5,25689.0,600519
2011-09-02,210.86,211.86,212.2,209.9,13832.0,600519
2011-09-05,211.19,207.27,211.38,206.5,27344.0,600519
2011-09-06,206.0,203.01,208.3,202.28,32094.0,600519
2011-09-07,203.6,207.59,207.88,203.5,20087.0,600519
2011-09-08,208.0,205.87,208.99,205.62,13182.0,600519
2011-09-09,206.56,207.08,209.68,203.99,14227.0,600519
2011-09-13,204.59,201.63,206.0,201.08,18949.0,600519
2011-09-14,203.0,197.95,203.28,194.17,47625.0,600519
2011-09-15,198.0,198.49,200.2,197.77,19122.0,600519
2011-09-16,199.49,202.92,203.13,198.0,18029.0,600519
2011-09-19,203.7,202.72,204.5,201.92,15352.0,600519
2011-09-20,202.7,200.84,202.7,199.5,12784.0,600519
2011-09-21,200.82,204.36,205.03,200.5,24640.0,600519
2011-09-22,203.0,197.66,203.88,197.3,24336.0,600519
2011-09-23,194.1,194.05,196.0,189.89,76537.0,600519
2011-09-26,191.86,188.12,194.25,188.0,42211.0,600519
2011-09-27,189.97,189.46,191.64,187.67,24749.0,600519
2011-09-28,190.8,187.12,190.8,186.23,32389.0,600519
2011-09-29,184.9,187.09,191.0,184.9,30030.0,600519
2011-09-30,187.16,190.59,191.1,187.16,18269.0,600519
2011-10-10,190.88,188.0,191.8,187.63,14283.0,600519
2011-10-11,191.99,186.97,191.99,183.0,20586.0,600519
2011-10-12,186.5,192.04,192.6,184.43,29778.0,600519
2011-10-13,192.04,192.07,194.84,190.0,23961.0,600519
2011-10-14,191.05,191.44,192.78,189.8,12468.0,600519
2011-10-17,192.17,197.14,197.51,191.6,26008.0,600519
2011-10-18,195.34,196.42,199.37,195.01,22785.0,600519
2011-10-19,197.42,198.12,201.5,197.0,22657.0,600519
2011-10-20,197.0,191.1,198.56,190.6,29312.0,600519
2011-10-21,190.66,194.39,195.0,190.66,17116.0,600519
2011-10-24,195.8,200.55,201.11,194.4,32390.0,600519
2011-10-25,199.2,200.62,203.33,199.2,32041.0,600519
2011-10-26,199.88,201.86,202.08,198.71,29492.0,600519
2011-10-27,202.05,202.0,204.36,201.54,20104.0,600519
2011-10-28,203.51,205.01,206.8,203.51,26056.0,600519
2011-10-31,205.3,204.21,206.18,202.68,28121.0,600519
2011-11-01,203.18,207.19,207.5,202.51,27147.0,600519
2011-11-02,204.95,209.57,209.65,204.6,26647.0,600519
2011-11-03,211.07,207.28,211.5,207.17,30465.0,600519
2011-11-04,207.88,207.76,210.0,206.33,18546.0,600519
2011-11-07,208.2,206.8,208.7,206.56,16573.0,600519
2011-11-08,207.66,204.75,207.93,203.98,25546.0,600519
2011-11-09,204.9,204.12,206.66,202.5,24696.0,600519
2011-11-10,203.29,205.01,205.6,203.13,14617.0,600519
2011-11-11,205.01,203.97,205.15,203.03,11692.0,600519
2011-11-14,205.49,207.26,208.15,204.2,17986.0,600519
2011-11-15,207.6,203.93,207.95,203.0,17782.0,600519
2011-11-16,203.95,200.77,203.95,199.9,29545.0,600519
2011-11-17,200.85,201.84,203.6,200.31,15589.0,600519
2011-11-18,201.88,200.57,202.88,199.7,19907.0,600519
2011-11-21,200.7,200.87,203.4,200.11,18389.0,600519
2011-11-22,200.89,206.07,206.89,200.6,35652.0,600519
2011-11-23,205.62,209.11,209.3,205.62,31537.0,600519
2011-11-24,208.6,207.69,209.18,207.5,26558.0,600519
2011-11-25,207.75,209.98,213.34,207.0,40235.0,600519
2011-11-28,210.31,213.87,214.77,209.31,53379.0,600519
2011-11-29,213.8,212.56,216.09,211.8,41355.0,600519
2011-11-30,212.88,210.06,214.78,208.8,40263.0,600519
2011-12-01,213.2,212.84,215.19,210.27,33785.0,600519
2011-12-02,212.0,213.42,216.2,212.0,26962.0,600519
2011-12-05,214.45,206.79,214.45,206.4,38962.0,600519
2011-12-06,206.51,203.67,206.55,201.7,37152.0,600519
2011-12-07,203.7,205.7,206.5,203.7,27333.0,600519
2011-12-08,205.9,203.0,208.6,202.88,24661.0,600519
2011-12-09,202.85,199.82,203.85,199.7,36745.0,600519
2011-12-12,199.82,197.54,200.9,196.89,29526.0,600519
2011-12-13,196.92,197.45,197.98,196.6,15539.0,600519
2011-12-14,196.25,198.21,200.0,196.25,18341.0,600519
2011-12-15,196.87,195.89,198.88,195.1,14945.0,600519
2011-12-16,198.0,201.78,201.98,197.99,30649.0,600519
2011-12-19,200.97,201.0,201.39,199.3,25456.0,600519
2011-12-20,201.0,200.24,202.8,198.5,17106.0,600519
2011-12-21,201.18,197.23,201.48,196.98,21962.0,600519
2011-12-22,197.5,199.67,200.92,195.8,17443.0,600519
2011-12-23,199.9,200.76,201.4,199.0,17609.0,600519
2011-12-26,200.61,193.12,200.62,192.3,46995.0,600519
2011-12-27,193.0,189.03,193.0,188.32,31314.0,600519
2011-12-28,188.3,190.23,190.5,186.49,27738.0,600519
2011-12-29,189.1,192.21,192.89,189.1,20062.0,600519
2011-12-30,192.7,193.3,194.88,190.0,29460.0,600519
2012-01-04,191.5,185.27,192.77,185.0,33878.0,600519
2012-01-05,184.0,183.15,185.2,182.36,30122.0,600519
2012-01-06,183.1,186.64,188.05,181.65,25190.0,600519
2012-01-09,186.0,188.01,188.09,181.77,26160.0,600519
2012-01-10,187.0,194.48,194.66,186.11,39235.0,600519
2012-01-11,192.95,189.68,193.89,189.3,39891.0,600519
2012-01-12,188.58,190.35,191.56,188.58,27440.0,600519
2012-01-13,190.7,188.69,191.2,187.52,20542.0,600519
2012-01-16,187.38,177.41,187.38,175.66,51655.0,600519
2012-01-17,177.9,180.44,181.98,170.9,61227.0,600519
2012-01-18,181.42,177.38,185.18,176.66,47294.0,600519
2012-01-19,177.89,180.7,181.6,175.51,24329.0,600519
2012-01-20,182.0,185.97,186.2,182.0,29683.0,600519
2012-01-30,185.99,183.8,186.99,183.06,30550.0,600519
2012-01-31,184.42,186.41,186.6,184.35,15854.0,600519
2012-02-01,186.2,186.15,188.52,184.88,24824.0,600519
2012-02-02,186.15,186.43,187.0,184.28,20375.0,600519
2012-02-03,186.46,186.48,186.6,183.49,26517.0,600519
2012-02-06,186.61,188.54,188.76,185.8,29747.0,600519
2012-02-07,187.3,185.86,188.45,185.4,17942.0,600519
2012-02-08,185.86,188.29,189.0,185.08,23082.0,600519
2012-02-09,188.0,190.75,191.15,187.66,31384.0,600519
2012-02-10,189.53,190.51,192.4,189.1,22276.0,600519
2012-02-13,189.5,193.42,195.17,188.66,21639.0,600519
2012-02-14,192.69,193.82,194.66,191.8,15142.0,600519
2012-02-15,192.73,194.8,195.9,192.73,24714.0,600519
2012-02-16,193.52,191.72,194.8,190.6,22016.0,600519
2012-02-17,193.88,191.44,193.88,190.37,12287.0,600519
2012-02-20,192.96,190.86,193.67,190.8,18530.0,600519
2012-02-21,191.79,191.95,192.58,190.4,13789.0,600519
2012-02-22,192.76,192.76,193.5,190.98,22352.0,600519
2012-02-23,192.52,194.31,195.04,192.52,33433.0,600519
2012-02-24,194.18,198.08,198.21,194.15,23944.0,600519
2012-02-27,198.78,198.5,200.02,197.5,26562.0,600519
2012-02-28,199.43,200.74,200.95,198.56,25698.0,600519
2012-02-29,201.0,204.46,205.0,200.5,39432.0,600519
2012-03-01,203.52,202.58,205.47,202.39,16920.0,600519
2012-03-02,202.63,200.9,203.7,199.51,35216.0,600519
2012-03-05,200.85,199.84,200.88,198.6,30553.0,600519
2012-03-06,199.0,196.05,199.84,196.0,31474.0,600519
2012-03-07,194.72,193.13,195.59,192.98,29198.0,600519
2012-03-08,193.21,194.44,196.11,192.98,23574.0,600519
2012-03-09,194.69,199.93,200.12,194.2,29239.0,600519
